data_year,victim_id,injury_id
2024,211762891,4
2024,211762938,5
2024,211763113,4
2024,211762983,4
2024,211762985,4
2024,211763158,5
2024,211763044,5
2024,211763189,4
2024,211763054,4
2024,211763097,5
2024,211763185,4
2024,211763188,4
2024,211763114,5
2024,211763208,4
2024,211763210,5
2024,211763280,5
2024,211763281,5
2024,211763119,4
2024,211763218,5
2024,211763243,4
2024,211763336,4
2024,211763492,5
2024,211763270,5
2024,211763389,5
2024,211763390,5
2024,211763519,5
2024,211763334,5
2024,211763381,4
2024,211763419,5
2024,211763416,3
2024,211763487,5
2024,211763488,5
2024,211763408,5
2024,211763410,5
2024,211763412,5
2024,211763413,5
2024,211763331,5
2024,211763370,5
2024,211763371,5
2024,211763448,2
2024,211763449,2
2024,211763540,5
2024,211763516,4
2024,211763528,5
2024,211763530,5
2024,211763679,5
2024,211763544,5
2024,211763627,5
2024,211763664,5
2024,211763722,5
2024,211763771,5
2024,211763580,5
2024,211763750,2
2024,211763750,4
2024,211763782,5
2024,211763901,2
2024,211763759,5
2024,211763850,2
2024,211763903,5
2024,211763905,5
2024,211763815,4
2024,211764050,4
2024,211764090,5
2024,211763855,2
2024,211763916,4
2024,211763999,5
2024,211764033,4
2024,211763887,5
2024,225406578,4
2024,211763920,5
2024,229496687,5
2024,225403041,4
2024,225403042,4
2024,225402966,4
2024,225403001,4
2024,225403061,4
2024,225403062,4
2024,227369581,4
2024,227369680,5
2024,229496589,5
2024,227369644,4
2024,220858239,5
2024,220856809,5
2024,220856810,5
2024,220856817,5
2024,220856834,5
2024,220856826,4
2024,220856889,4
2024,220856873,5
2024,220856851,5
2024,220857016,5
2024,220857017,5
2024,220856881,5
2024,220856928,5
2024,220856929,5
2024,220858314,5
2024,220858315,5
2024,220856969,4
2024,220856970,5
2024,220856996,4
2024,220857173,5
2024,220857121,5
2024,220857169,5
2024,220857171,5
2024,220857275,5
2024,220857276,5
2024,220858357,4
2024,220857305,5
2024,220857296,5
2024,220857239,5
2024,220857278,5
2024,209613083,4
2024,220857563,5
2024,220857599,5
2024,220857480,5
2024,220857481,5
2024,220857470,5
2024,220857472,5
2024,220857473,5
2024,220857528,5
2024,220857529,5
2024,220857567,4
2024,220857690,5
2024,220857728,5
2024,220857544,4
2024,220857788,4
2024,220857789,5
2024,220857556,5
2024,220857557,5
2024,220857616,4
2024,220857669,5
2024,220857670,5
2024,220857646,4
2024,220857686,4
2024,220857701,5
2024,220857704,5
2024,220857705,4
2024,220857706,5
2024,209617385,5
2024,220857748,5
2024,220857844,5
2024,220857823,5
2024,220857868,5
2024,220857913,5
2024,220857819,5
2024,220857917,5
2024,220857918,5
2024,220857972,4
2024,220858007,4
2024,220858057,4
2024,220858059,5
2024,220857891,5
2024,220858000,5
2024,220858066,4
2024,220858062,4
2024,220858014,5
2024,220858015,5
2024,220858067,4
2024,220858068,4
2024,220858069,4
2024,220858070,4
2024,220858071,5
2024,220858072,5
2024,220858094,4
2024,220858095,5
2024,220858096,5
2024,220858097,5
2024,220858148,5
2024,220858185,5
2024,220858049,5
2024,220858296,5
2024,220858316,4
2024,209617479,4
2024,220858378,5
2024,220858379,5
2024,220858322,5
2024,220858376,5
2024,220858461,4
2024,220858451,5
2024,220858350,4
2024,220858351,4
2024,220858492,4
2024,227361961,5
2024,220858393,5
2024,220858441,4
2024,220858472,5
2024,220858473,4
2024,220858518,4
2024,220858519,4
2024,220858418,4
2024,220858419,4
2024,220858469,5
2024,220858470,5
2024,220858556,4
2024,220858557,4
2024,220858558,4
2024,220858466,5
2024,220858580,5
2024,220858511,5
2024,220858603,5
2024,220858601,5
2024,220858644,5
2024,209614147,4
2024,220858674,5
2024,220858677,5
2024,220858678,5
