data_year,weapon_id,offense_id,nibrs_weapon_id
2024,38,238217537,
2024,42,238217657,
2024,42,238217486,
2024,42,238217524,
2024,42,238217556,
2024,42,238217585,
2024,41,238217528,
2024,41,238217564,
2024,41,238217602,
2024,38,238217603,
2024,41,238217721,
2024,41,238217658,
2024,42,238217697,
2024,31,238217907,
2024,42,238217676,
2024,41,238217615,
2024,41,238217653,
2024,21,238217763,
2024,38,238217689,
2024,41,238217720,
2024,42,238217738,
2024,41,238217659,
2024,41,238217752,
2024,42,238217853,
2024,41,238217780,
2024,41,238217826,
2024,41,238217884,
2024,41,238217767,
2024,42,238217791,
2024,41,238217793,
2024,42,238217938,
2024,41,238218025,
2024,41,238217789,
2024,1,238217851,
2024,41,238217925,
2024,41,238218010,
2024,41,238217912,
2024,41,238217997,
2024,41,238218030,
2024,41,238218031,
2024,42,238217919,
2024,41,238217995,
2024,41,238218065,
2024,38,238218028,
2024,41,238217999,
2024,41,238218020,
2024,42,238218168,
2024,5,238218214,
2024,42,238218051,
2024,38,238218085,
2024,41,238218075,
2024,41,238218195,
2024,41,238218307,
2024,42,238218232,
2024,42,238218160,
2024,38,238218239,
2024,38,238218181,
2024,41,238218356,
2024,42,238218223,
2024,42,238218208,
2024,38,238218625,
2024,42,238218267,
2024,42,238218293,
2024,41,238218241,
2024,41,238218309,
2024,38,238218558,
2024,5,241816572,
2024,38,238218661,
2024,5,238218668,
2024,41,238218694,
2024,38,238218667,
2024,41,238218743,
2024,41,238218947,
2024,1,238218699,
2024,41,238218728,
2024,41,238218750,
2024,41,238218785,
2024,41,238218901,
2024,41,238218871,
2024,41,238218927,
2024,42,238218921,
2024,42,238218829,
2024,42,238218926,
2024,42,238218861,
2024,42,238218920,
2024,41,238218940,
2024,41,238219010,
2024,42,238219020,
2024,42,238219087,
2024,38,238219170,
2024,5,238219008,
2024,41,238219063,
2024,41,238219277,
2024,42,238219313,
2024,41,238219305,
2024,41,238219345,
2024,38,238219200,
2024,21,238219201,
2024,41,238219307,
2024,41,238219335,
2024,41,238219311,
2024,21,238219372,
2024,41,238219481,
2024,41,238219529,
2024,42,238219558,
2024,42,238219584,
2024,41,238219473,
2024,42,238219474,
2024,42,238219554,
2024,42,238219616,
2024,42,238219607,
2024,42,238219647,
2024,42,238219684,
2024,42,238219496,
2024,42,238219694,
2024,41,238219537,
2024,41,238219668,
2024,41,238219834,
2024,41,238219669,
2024,41,238219726,
2024,41,238219610,
2024,41,238219670,
2024,41,238219867,
2024,21,238219615,
2024,42,238219692,
2024,42,238219722,
2024,42,238219723,
2024,41,238219757,
2024,41,238219743,
2024,42,238219980,
2024,41,238219758,
2024,41,238219846,
2024,41,238219877,
2024,41,238220016,
2024,42,238219833,
2024,42,238219977,
2024,41,238219902,
2024,42,238219938,
2024,38,238219971,
2024,41,241816643,
2024,41,241818947,
2024,41,238220012,
2024,41,241816582,
2024,41,241816681,
2024,41,241818749,
2024,38,241816624,
2024,41,241818874,
2024,42,241816742,
2024,5,241816743,
2024,41,241818959,
2024,42,241816683,
2024,38,241816752,
2024,38,241816768,
2024,38,241816832,
2024,42,241816754,
2024,5,241816815,
2024,5,241816816,
2024,38,241818950,
2024,42,241816995,
2024,41,241816885,
2024,41,241818958,
2024,42,241816891,
2024,42,241818975,
2024,42,241816944,
2024,39,241819042,
2024,41,241817026,
2024,38,241816994,
2024,42,241817020,
2024,41,241816983,
2024,41,241819170,
2024,41,241817042,
2024,42,241817076,
2024,38,241819272,
2024,41,241817142,
2024,41,241817131,
2024,42,241817189,
2024,41,241819342,
2024,42,241819373,
2024,42,241819442,
2024,13,241817306,
2024,5,241817423,
2024,42,241819569,
2024,38,241817460,
2024,41,241817479,
2024,38,232416756,
2024,41,232415197,
2024,41,232416730,
2024,38,232415336,
2024,41,232415325,
2024,41,232416780,
2024,39,232415242,
2024,41,232415320,
2024,41,232415419,
2024,38,232415259,
2024,41,232416838,
2024,41,232416813,
2024,21,232415471,
2024,31,232415459,
2024,41,232416786,
2024,41,232415417,
2024,41,232415463,
2024,41,232415573,
2024,5,232415558,
2024,41,232417050,
2024,41,232416920,
2024,42,232415683,
2024,42,232417027,
2024,41,232415624,
2024,41,232415659,
2024,41,232416951,
2024,41,232415760,
2024,41,232417016,
2024,41,232416974,
2024,38,232415792,
2024,21,232415860,
2024,41,232415931,
2024,38,232415945,
2024,41,232417175,
2024,41,232415961,
2024,41,232417191,
2024,39,232417236,
2024,41,232416026,
2024,41,232416092,
2024,41,232417558,
2024,5,232417605,
2024,41,232417576,
2024,5,232417627,
2024,41,232417661,
2024,31,232417594,
2024,41,232417578,
2024,41,232417733,
2024,41,232417716,
2024,41,232417672,
2024,41,232417805,
2024,21,232417674,
2024,38,232417753,
2024,38,232417779,
2024,41,232417741,
2024,41,232417949,
2024,41,232417768,
2024,41,232417798,
2024,41,232417787,
2024,42,232415965,
2024,38,232417869,
2024,41,232417797,
2024,41,232417833,
2024,41,232417895,
2024,41,232417923,
2024,41,232417863,
2024,5,232417929,
2024,41,232417915,
2024,41,232417864,
2024,41,232418099,
2024,41,232417997,
2024,9,232418097,
2024,21,232417979,
2024,21,232418156,
2024,42,232418135,
2024,39,232418172,
2024,41,232418053,
2024,41,232418372,
2024,41,232418025,
2024,41,232418067,
2024,41,232418104,
2024,41,232418136,
2024,41,232418124,
2024,41,232418158,
2024,38,232418187,
2024,38,232418212,
2024,5,232418207,
2024,39,232418311,
2024,41,232418391,
2024,41,232418304,
2024,41,232418343,
2024,41,232418403,
2024,41,232418358,
2024,39,232418265,
2024,39,232418419,
2024,41,232418371,
2024,41,232418431,
2024,41,232418345,
2024,41,232418396,
2024,41,232418329,
2024,41,232418498,
2024,41,232418334,
2024,41,232418344,
2024,41,232418528,
2024,41,232418478,
2024,42,232418522,
2024,5,232418585,
2024,41,232418515,
2024,41,234171580,
2024,38,232418614,
2024,41,232418655,
2024,41,232418748,
2024,41,232418842,
2024,21,232418662,
2024,41,232418846,
2024,41,232418870,
2024,41,232418782,
2024,41,232418843,
2024,41,232418976,
2024,41,232418941,
2024,41,232418973,
2024,41,232419031,
2024,41,232419051,
2024,42,234171422,
2024,41,234171503,
2024,41,234171681,
2024,41,234171506,
2024,38,234171560,
